title		rating	imdb_rating	metacritic		production		imdb_votes			release_date	runtime	genre			Budget	Box Office Gross
Big Eyes		PG-13	7	62		The Weinstein Company		"64,620"			25-Dec-14	106 min	"Biography, Crime, Drama"			10000000	14479776
Burlesque		PG-13	6.4	47		Sony Pictures/Screen Gems		"64,553"			24-Nov-10	119 min	"Drama, Music, Musical"			55000000	39440655
Morning Glory		PG-13	6.5	57		Paramount Studios		"61,745"			10-Nov-10	107 min	"Comedy, Drama, Romance"			40000000	31011732
Radio Free Albemuth		R	5.8	35		Freestyle Releasing		"1,218"			27-Jun-14	111 min	"Drama, Sci-Fi"			3600000	5553
Shutter Island		R	8.1	63		Paramount Studios		"855,681"			19-Feb-10	138 min	"Mystery, Thriller"			80000000	128012934
2:22		PG-13	N/A	N/A		N/A		N/A			30-Jun-17	N/A	Thriller			0	0
Green Lantern		PG-13	5.6	39		Warner Bros. Pictures		"232,727"			17-Jun-11	114 min	"Action, Adventure, Sci-Fi"			200000000	116601172
Takers		PG-13	6.2	45		Sony Pictures/Screen Gems		"49,037"			27-Aug-10	107 min	"Action, Crime, Thriller"			20000000	57744720
A Tale of Love and Darkness		PG-13	6	55		Focus World		"1,701"			19-Aug-16	95 min	"Biography, Drama"			4000000	569381
Death Wish		R	N/A	N/A		N/A		N/A			N/A	N/A	"Action, Crime, Drama"			0	0
Accidental Love		PG-13	4	20		Millennium Entertainment		"5,908"			10-Feb-15	100 min	"Comedy, Romance"			26000000	0
I Believe in Unicorns		N/A	6.2	73		Gravitas Ventures		491			29-May-15	80 min	Drama			0	0
Frankenweenie		PG	7	74		Walt Disney Pictures		"79,317"			5-Oct-12	87 min	"Animation, Comedy, Family"			39000000	35291068
The Bronx Bull		R	4.9	N/A		Momentum Pictures		277			6-Jan-17	94 min	"Biography, Drama, Sport"			7000000	0
Beastly		PG-13	5.6	40		CBS Films		"67,224"			4-Mar-11	86 min	"Drama, Fantasy, Romance"			17000000	27865571
The Karate Kid		PG	6.2	61		Sony Pictures		"128,827"			11-Jun-10	140 min	"Action, Drama, Family"			40000000	176591618
The Hobbit: The Desolation of Smaug		PG-13	7.9	66		Warner Bros.		"515,177"			13-Dec-13	161 min	"Adventure, Fantasy"			225000000	258366855
A Walk in the Woods		R	6.3	51		Broad Green Pictures		"17,797"			2-Sep-15	104 min	"Adventure, Biography, Comedy"			8000000	29467855
Cold in July		R	6.8	73		IFC Films		"27,999"			31-Dec-14	109 min	"Crime, Thriller"			414623	0
From Paris with Love		R	6.5	42		Lionsgate Films		"101,142"			5-Feb-10	92 min	"Action, Crime, Thriller"			52000000	23979741
A Nightmare on Elm Street		R	5.2	35		Warner Bros. Pictures		"78,829"			30-Apr-10	95 min	"Horror, Mystery, Thriller"			35000000	63075011
10 Cloverfield Lane		PG-13	7.2	76		Bad Robot Productions		"193,349"			11-Mar-16	104 min	"Drama, Horror, Mystery"			15000000	71897215
When in Rome		PG-13	5.5	25		Walt Disney Pictures		"53,180"			29-Jan-10	91 min	"Comedy, Romance"			55000000	32669555
The Wrecking Crew!		PG	7.6	67		Magnolia Pictures		"1,871"			13-Mar-15	101 min	"Documentary, Music"			800521	0
Jai Ho		N/A	5.4	N/A		Eros Entertainment		"13,481"			24-Jan-14	135 min	"Action, Crime, Drama"			750000000	1246151
The Lincoln Lawyer		R	7.3	63		Lionsgate Films		"182,243"			18-Mar-11	118 min	"Crime, Drama, Thriller"			40000000	58009200
Rango		PG	7.2	75		Paramount Pictures		"194,569"			4-Mar-11	107 min	"Animation, Adventure, Comedy"			135000000	123477607
Step Up 3D		PG-13	6.2	45		Touchstone Pictures		"49,448"			6-Aug-10	107 min	"Drama, Music, Romance"			30000000	42400223
The Bourne Legacy		PG-13	6.7	61		Universal Pictures		"246,143"			10-Aug-12	135 min	"Action, Adventure, Mystery"			125000000	113203870
The Five-Year Engagement		R	6.2	62		Universal Pictures		"82,036"			27-Apr-12	124 min	"Comedy, Romance"			30000000	28835528
Diary of a Wimpy Kid		PG	6.2	56		20th Century Fox		"34,408"			19-Mar-10	94 min	"Comedy, Family"			15000000	64003625
One Chance		PG-13	6.8	52		The Weinstein Company		"8,882"			25-Oct-13	103 min	"Biography, Comedy, Drama"			89722	0
You're Not You		R	7.4	56		Entertainment One Films		"18,408"			26-Nov-14	102 min	Drama			0	0
Harry Potter and the Deathly Hallows: Part 2		PG-13	8.1	87		Warner Bros. Pictures		"594,362"			15-Jul-11	130 min	"Adventure, Drama, Fantasy"			125000000	381011219
The Muppets		PG	7.1	75		Walt Disney Pictures		"77,570"			23-Nov-11	103 min	"Adventure, Comedy, Family"			45000000	88631237
Last Vegas		PG-13	6.6	48		CBS Films		"112,258"			1-Nov-13	105 min	Comedy			28000000	63914167
Ouija		PG-13	4.4	38		Universal Pictures		"37,506"			24-Oct-14	89 min	"Horror, Thriller"			5000000	50856010
Jack Ryan: Shadow Recruit		PG-13	6.2	57		Paramount Pictures		"103,807"			17-Jan-14	105 min	"Action, Drama, Thriller"			60000000	50577412
Brooklyn's Finest		R	6.7	43		Overture Films		"54,731"			5-Mar-10	132 min	"Crime, Drama, Thriller"			17000000	27154426
Moneyball		PG-13	7.6	87		Sony Pictures		"297,610"			23-Sep-11	133 min	"Biography, Drama, Sport"			50000000	75605492
The Lone Ranger		PG-13	6.5	37		Walt Disney Pictures		"191,532"			3-Jul-13	150 min	"Action, Adventure, Western"			215000000	89302115
Doctor Strange		PG-13	7.6	72		Walt Disney Pictures		"302,442"			4-Nov-16	115 min	"Action, Adventure, Fantasy"			165000000	232641920
16 Stones		PG	5.2	N/A		Candlelight Media Group		49			1-Oct-14	93 min	Adventure			0	0
The Lost City of Z		PG-13	7.1	78		Amazon Studios/Bleecker Street Media		"8,200"			21-Apr-17	141 min	"Action, Adventure, Biography"			30000000	8574339
The Back-up Plan		PG-13	5.3	34		CBS Films		"42,533"			23-Apr-10	104 min	"Comedy, Romance"			35000000	37490007
Lawless		R	7.3	58		The Weinstein Company		"195,801"			29-Aug-12	116 min	"Crime, Drama"			26000000	37400127
Alpha and Omega		PG	5.3	36		Lionsgate Films		"11,456"			17-Sep-10	90 min	"Animation, Adventure, Comedy"			20000000	25077977
First Man		N/A	N/A	N/A		N/A		N/A			12-Oct-18	N/A	"Biography, Drama"			0	0
The World's End		R	7	81		Focus Features		"200,038"			23-Aug-13	109 min	"Action, Comedy, Sci-Fi"			20000000	26004851
Cars 2		G	6.2	57		Walt Disney Pictures/PIXAR		"111,475"			24-Jun-11	106 min	"Animation, Adventure, Comedy"			200000000	191452396
Kill the Messenger		R	7	60		Focus Features		"35,464"			9-Oct-14	112 min	"Biography, Crime, Drama"			5000000	2450846
Leap Year		PG	6.5	33		Universal Pictures/Spyglass		"76,152"			8-Jan-10	100 min	"Comedy, Romance"			19000000	25918920
Brave		PG	7.2	69		Walt Disney Pictures		"295,710"			22-Jun-12	93 min	"Animation, Adventure, Comedy"			185000000	237283207
Battle Los Angeles		PG-13	5.8	37		Sony Pictures/Columbia Pictures		"159,119"			11-Mar-11	116 min	"Action, Sci-Fi"			70000000	83552429
Limitless		PG-13	7.4	59		Relativity Media		"446,015"			18-Mar-11	105 min	"Mystery, Sci-Fi, Thriller"			27000000	79249455
Legend of the Guardians: The Owls of Ga'Hoole		PG	7	53		Warner Bros. Pictures		"68,717"			24-Sep-10	97 min	"Animation, Action, Adventure"			80000000	55675313
Resident Evil: Afterlife		R	5.9	37		Sony Pictures/Screen Gems		"140,832"			10-Sep-10	97 min	"Action, Adventure, Horror"			60000000	60128566
Chimpanzee		G	7.2	57		Disneynature		"5,114"			20-Apr-12	78 min	Documentary			5000000	28965459
Zookeeper		PG	5.2	30		Columbia Pictures		"47,137"			8-Jul-11	102 min	"Comedy, Family, Romance"			80000000	80360843
African Cats		G	7.6	61		Disneynature		"5,308"			22-Apr-11	89 min	"Documentary, Adventure"			5000000	15415270
Get Him to the Greek		R	6.4	65		Universal Pictures		"152,102"			4-Jun-10	109 min	"Comedy, Music"			60974475	0
Edge of Darkness		R	6.6	55		Warner Bros. Pictures		"78,683"			29-Jan-10	117 min	"Crime, Drama, Mystery"			80000000	43313890
Iron Man 2		PG-13	7	57		Paramount Studios		"559,473"			7-May-10	124 min	"Action, Adventure, Sci-Fi"			200000000	312433331
Mission: Impossible - Ghost Protocol		PG-13	7.4	73		Paramount Studios		"383,878"			21-Dec-11	132 min	"Action, Adventure, Thriller"			145000000	209397903
Anchorman 2: The Legend Continues		PG-13	6.3	61		Paramount Pictures		"139,059"			18-Dec-13	119 min	Comedy			50000000	127352707
It's Complicated		R	6.6	57		Universal Pictures		"72,983"			25-Dec-09	120 min	"Comedy, Drama, Romance"			85000000	112735375
Due Date		R	6.6	51		Warner Bros. Pictures		"282,975"			5-Nov-10	95 min	"Comedy, Drama"			65000000	100539043
Hot Tub Time Machine		R	6.4	63		MGM		"143,763"			26-Mar-10	101 min	"Comedy, Sci-Fi"			36000000	50287556
That's My Boy		R	5.6	31		Sony Pictures		"74,826"			15-Jun-12	116 min	"Comedy, Drama"			70000000	36931089
21 Jump Street		R	7.2	69		Sony Pictures		"434,025"			16-Mar-12	110 min	"Action, Comedy, Crime"			42000000	138447667
Red Dawn		PG-13	5.4	31		Film District		"64,588"			21-Nov-12	93 min	"Action, Thriller"			65000000	44806783
Broken City		R	6.2	49		20th Century Fox		"66,631"			18-Jan-13	109 min	"Crime, Drama, Thriller"			35000000	19701164
Your Highness		R	5.6	31		Universal Pictures		"87,906"			8-Apr-11	102 min	"Adventure, Comedy, Fantasy"			49900000	21596445
The Tourist		PG-13	6	37		Columbia Pictures		"187,053"			10-Dec-10	103 min	"Action, Crime, Romance"			100000000	67631157
Aloha		PG-13	5.4	40		Sony Pictures		"45,257"			29-May-15	105 min	"Comedy, Drama, Romance"			37000000	20991497
Extraordinary Measures		PG	6.5	45		CBS Films		"14,803"			22-Jan-10	106 min	Drama			31000000	11854694
This Is the End		R	6.6	67		Sony Pictures		"328,268"			12-Jun-13	107 min	"Comedy, Fantasy"			32000000	101470202
RED		PG-13	7.1	60		Summit Entertainment		"250,400"			15-Oct-10	111 min	"Action, Comedy, Crime"			58000000	90380162
Serena		R	5.4	36		Magnolia Pictures		"19,970"			26-Feb-15	109 min	"Drama, Romance"			30000000	176305
Kick-Ass		R	7.7	66		Lionsgate		"457,632"			16-Apr-10	117 min	"Action, Comedy"			30000000	48071303
300: Rise of an Empire		R	6.2	48		Warner Bros. Pictures		"238,937"			7-Mar-14	102 min	"Action, Fantasy"			110000000	106580051
Immortals		R	6	46		Relativity Media		"143,035"			11-Nov-11	110 min	"Action, Drama, Fantasy"			75000000	83504017
The Man with the Iron Fists		R	5.4	51		Universal Studios		"55,131"			2-Nov-12	95 min	Action			15000000	15634090
The Cabin in the Woods		R	7	72		Lionsgate Films		"296,912"			13-Apr-12	95 min	Horror			30000000	42073277
Den of Thieves		N/A	N/A	N/A		N/A		N/A			N/A	N/A	"Action, Drama"			0	0
Sex and the City 2		R	4.3	27		Warner Bros. Pictures		"62,432"			27-May-10	146 min	"Comedy, Drama, Romance"			100000000	95347692
Scream 4		R	6.2	52		The Weinstein Company/Dimension		"108,550"			15-Apr-11	111 min	"Horror, Mystery"			40000000	38180928
Wicked		N/A	N/A	N/A		N/A		N/A			20-Dec-19	N/A	"Fantasy, Musical, Romance"			0	0
The Roommate		PG-13	4.9	23		Screen Gems/SONY PICTURES		"30,452"			4-Feb-11	91 min	"Drama, Horror, Thriller"			16000000	37300107
Hercules		PG-13	6	47		Paramount Pictures		"122,960"			25-Jul-14	98 min	"Action, Adventure"			100000000	72688614
A Very Harold & Kumar 3D Christmas		R	6.3	61		Warner Bros. Pictures		"57,754"			4-Nov-11	90 min	"Adventure, Comedy"			19000000	35033759
Saints and Soldiers: The Void		PG-13	5.2	N/A		Excel Entertainment Group		"1,682"			15-Aug-14	94 min	"Action, Drama, War"			0	0
Don't Be Afraid of the Dark		R	5.6	56		Miramax Films		"42,110"			26-Aug-11	99 min	"Fantasy, Horror, Thriller"			25000000	24042490
Venom		N/A	N/A	N/A		Columbia Pictures		N/A			5-Oct-18	N/A	"Action, Horror, Sci-Fi"			0	0
X-Men: First Class		PG-13	7.8	65		20th Century Fox		"552,225"			3-Jun-11	132 min	"Action, Adventure, Sci-Fi"			160000000	146408305
The Last Film Festival		R	4	N/A		N/A		154			16-Sep-16	90 min	Comedy			650000	3506
The Spy Next Door		PG	5.4	27		Lionsgate		"32,377"			15-Jan-10	94 min	"Action, Comedy, Family"			28000000	24268828
Looper		R	7.4	84		Sony Pictures		"453,507"			28-Sep-12	119 min	"Action, Crime, Drama"			30000000	66486205
Madagascar 3: Europe's Most Wanted		PG	6.9	60		Paramount/Dreamworks		"127,776"			8-Jun-12	93 min	"Animation, Adventure, Comedy"			145000000	216391482
Date Night		PG-13	6.3	56		20th Century Fox		"132,893"			9-Apr-10	88 min	"Comedy, Crime, Romance"			55000000	98711404
Fort McCoy		R	5.9	47		Monterey Media		297			15-Aug-14	100 min	"Drama, History, War"			3000000	73678
Easy A		PG-13	7.1	72		Sony Pictures/Screen Gems		"294,977"			17-Sep-10	92 min	"Comedy, Drama, Romance"			8000000	58401464
The Social Network		PG-13	7.7	95		Columbia Pictures		"511,136"			1-Oct-10	120 min	"Biography, Drama"			40000000	96962694
Cats & Dogs: The Revenge of Kitty Galore		PG	4.3	30		Warner Bros. Pictures		"10,884"			30-Jul-10	82 min	"Action, Comedy, Family"			85000000	43585753
Evil Dead		R	6.5	57		TriStar Pictures		"133,688"			5-Apr-13	91 min	"Fantasy, Horror"			17000000	54239856
Ghostbusters		PG-13	5.3	60		Sony Pictures		"149,800"			15-Jul-16	116 min	"Action, Comedy, Fantasy"			144000000	128344089
Frank & Lola		UNRATED	6	56		Parts and Labor		"3,072"			9-Dec-16	88 min	"Crime, Drama, Mystery"			0	0
Teenage Mutant Ninja Turtles		PG-13	5.9	31		Paramount Pictures		"179,118"			8-Aug-14	101 min	"Action, Adventure, Comedy"			125000000	191204754
Solace		R	6.4	36		Lionsgate Premiere		"36,667"			16-Dec-16	101 min	"Crime, Drama, Mystery"			0	0
Warrior		PG-13	8.2	71		Lionsgate		"356,193"			9-Sep-11	140 min	"Action, Drama, Sport"			25000000	13657115
How to Be Single		R	6.1	51		Warner Bros. Pictures		"60,796"			12-Feb-16	110 min	"Comedy, Romance"			38000000	46813366
xXx: Return of Xander Cage		PG-13	5.2	42		Paramount Pictures		"47,690"			20-Jan-17	107 min	"Action, Adventure, Thriller"			85000000	44898413
The Last Song		PG	5.9	33		Walt Disney Studios		"64,977"			31-Mar-10	107 min	"Drama, Family, Music"			20000000	62950384
The Angriest Man in Brooklyn		R	5.7	21		Lionsgate Films		"17,663"			23-May-14	83 min	"Comedy, Drama"			0	0
The Watch		R	5.7	36		20th Century Fox		"108,202"			27-Jul-12	102 min	"Action, Comedy, Sci-Fi"			68000000	35353000
Iron Man 3		PG-13	7.2	62		Walt Disney Pictures		"594,224"			3-May-13	130 min	"Action, Adventure, Sci-Fi"			200000000	409013994
Kung Fu Panda 2		PG	7.3	67		Paramount Studios/Dreamworks		"197,532"			26-May-11	90 min	"Animation, Action, Adventure"			150000000	165249063
Yogi Bear		PG	4.6	35		Warner Bros. Pictures		"17,173"			17-Dec-10	80 min	"Animation, Adventure, Comedy"			80000000	100246011
Our Family Wedding		PG-13	4.9	38		Fox Searchlight		"5,943"			12-Mar-10	103 min	"Comedy, Romance"			14000000	20246959
Mars Needs Moms		PG	5.4	49		Walt Disney Pictures		"18,306"			11-Mar-11	88 min	"Animation, Adventure, Family"			150000000	21379315
50/50		R	7.7	72		Summit Entertainment		"282,080"			30-Sep-11	100 min	"Comedy, Drama, Romance"			8000000	35014192
Seeking a Friend for the End of the World		R	6.7	59		Focus Features		"93,294"			22-Jun-12	101 min	"Adventure, Comedy, Drama"			10000000	6619173
Bullet to the Head		R	5.7	48		Warner Bros. Pictures		"41,043"			1-Feb-13	92 min	"Action, Thriller"			55000000	9483821
Devil		PG-13	6.3	44		Universal Pictures		"109,995"			17-Sep-10	80 min	"Horror, Mystery, Thriller"			10000000	33583175
Rise of the Planet of the Apes		PG-13	7.6	68		20th Century Fox		"422,314"			5-Aug-11	105 min	"Action, Drama, Sci-Fi"			93000000	176760185
The Last Exorcism		PG-13	5.6	63		Lionsgate		"43,032"			27-Aug-10	87 min	"Drama, Horror, Thriller"			1800000	41034350
The Expendables		R	6.5	45		Lionsgate Films		"283,386"			13-Aug-10	103 min	"Action, Adventure, Thriller"			80000000	103068524
Gulliver's Travels		PG	4.9	33		20th Century Fox		"55,378"			25-Dec-10	85 min	"Adventure, Comedy, Family"			112000000	42779261
Death at a Funeral		R	5.7	51		Sony Pictures		"37,823"			16-Apr-10	92 min	Comedy			20000000	42739347
August: Osage County		R	7.2	58		The Weinstein Company		"71,975"			10-Jan-14	121 min	Drama			25000000	37738503
Going the Distance		R	6.3	51		New Line Cinema		"51,984"			3-Sep-10	102 min	"Comedy, Romance"			32000000	17804299
Sunshine Superman		PG	6.9	70		Magnolia Pictures		"1,018"			22-May-15	100 min	"Documentary, Biography, Sport"			87875	0
Revenge of the Mekons		N/A	7.3	77		Music Box Films		61			19-Nov-15	95 min	Documentary			300000	11568
Faith of Our Fathers		PG-13	3.4	20		Pure Flix		467			1-Jul-15	96 min	Drama			986472	0
Despicable Me		PG	7.7	72		Universal Pictures		"412,633"			9-Jul-10	95 min	"Animation, Adventure, Comedy"			69000000	251513985
The Twilight Saga: Breaking Dawn - Part 1		PG-13	4.9	45		Summit Entertainment		"190,726"			18-Nov-11	117 min	"Adventure, Drama, Fantasy"			110000000	281287133
The Twilight Saga: Eclipse		PG-13	4.9	58		Summit Entertainment		"192,868"			30-Jun-10	124 min	"Adventure, Drama, Fantasy"			68000000	300531751
The Lucky One		PG-13	6.5	39		Warner Bros. Pictures		"83,063"			20-Apr-12	101 min	"Drama, Romance"			25000000	60457138
Something Wicked		R	4.8	N/A		Merchant Films		"1,067"			11-Apr-14	95 min	"Drama, Horror, Mystery"			3000000	0
Lee Daniels' The Butler		PG-13	7.2	66		The Weinstein Company		"93,506"			16-Aug-13	132 min	"Biography, Drama"			30000000	116632095
The Book of Love		PG-13	5.8	27		Electric Entertainment		"1,296"			13-Jan-17	106 min	Drama			0	0
Movie 43		R	4.3	18		Relativity Media		"83,735"			25-Jan-13	94 min	"Comedy, Romance"			6000000	8828771
Arthur		PG-13	5.7	36		Warner Bros.		"46,761"			8-Apr-11	110 min	"Comedy, Romance"			40000000	33035397
47 Ronin		PG-13	6.3	28		Universal Pictures		"123,514"			25-Dec-13	128 min	"Action, Adventure, Drama"			175000000	38362475
Rock of Ages		PG-13	5.9	47		New Line Cinema		"64,491"			15-Jun-12	123 min	"Comedy, Drama, Musical"			75000000	38518613
Terminator Genisys		PG-13	6.5	38		Paramount Pictures		"206,879"			1-Jul-15	126 min	"Action, Adventure, Sci-Fi"			155000000	89760956
How Do You Know		PG-13	5.4	46		Columbia Pictures		"36,621"			17-Dec-10	121 min	"Comedy, Drama, Romance"			120000000	30212620
The Great Gatsby		PG-13	7.3	55		Warner Bros. Pictures		"387,343"			10-May-13	143 min	"Drama, Romance"			105000000	144840419
Dredd		R	7.1	59		Lionsgate Films		"214,014"			21-Sep-12	95 min	"Action, Sci-Fi"			35000000	13414714
The Dark Knight Rises		PG-13	8.5	78		Warner Bros. Pictures		"1,228,378"			20-Jul-12	164 min	"Action, Thriller"			250000000	448139099
Jack the Giant Slayer		PG-13	6.3	51		Warner Bros.		"111,945"			1-Mar-13	114 min	"Adventure, Fantasy"			195000000	65187603
The Infiltrator		R	7.1	66		Broad Green Pictures		"44,228"			13-Jul-16	127 min	"Biography, Crime, Drama"			28000000	15425870
Passengers		PG-13	7	41		Columbia Pictures		"200,214"			21-Dec-16	116 min	"Adventure, Drama, Romance"			110000000	100014699
Black Mass		R	6.9	68		Warner Bros Pictures		"136,296"			18-Sep-15	123 min	"Biography, Crime, Drama"			53000000	62575678
About Elly		N/A	8.1	87		Cinema Guild		"29,828"			6-Jun-09	119 min	"Drama, Mystery, Thriller"			106662	0
Good People		R	5.5	42		Millennium Entertainment		"12,553"			21-Aug-15	90 min	"Action, Crime, Thriller"			0	0
Beasts of No Nation		NOT RATED	7.8	79		Netflix		"50,439"			16-Oct-15	137 min	"Drama, War"			6000000	83861
Tomb Raider		N/A	N/A	N/A		GK Films		N/A			16-Mar-18	N/A	"Action, Adventure"			0	0
The Sitter		R	5.7	39		20th Century Fox		"61,941"			9-Dec-11	81 min	Comedy			30538669	0
Cloud Atlas		R	7.5	55		Warner Bros. Pictures		"299,591"			26-Oct-12	172 min	"Drama, Sci-Fi"			102000000	27108272
This Is Where I Leave You		R	6.6	44		Warner Bros. Pictures		"58,489"			19-Sep-14	103 min	"Comedy, Drama"			19800000	34290142
Pride and Prejudice and Zombies		PG-13	5.8	45		Sony Pictures		"35,314"			5-Feb-16	108 min	"Action, Horror, Romance"			28000000	10907291
Inception		PG-13	8.8	74		Warner Bros. Pictures		"1,592,306"			16-Jul-10	148 min	"Action, Adventure, Sci-Fi"			160000000	292576195
Grown Ups		PG-13	6	30		Sony Pictures		"190,606"			25-Jun-10	102 min	Comedy			80000000	162001186
The Adventurer: The Curse of the Midas Box		PG	5.4	39		RLJ Entertainment		"4,620"			5-Dec-13	100 min	"Adventure, Family, Fantasy"			25000000	4756
The Adjustment Bureau		PG-13	7.1	60		Universal Pictures		"209,145"			4-Mar-11	106 min	"Romance, Sci-Fi, Thriller"			50200000	62495645
Particle Fever		N/A	7.4	87		BOND360		"6,188"			3-Sep-14	99 min	Documentary			869838	0
The Other Guys		PG-13	6.7	64		Columbia Pictures		"200,474"			6-Aug-10	107 min	"Action, Comedy, Crime"			100000000	119219978
